2025-11-01 00:00:42 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:00:43 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-11-01 00:00:43 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-11-01 00:00:44 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:00:44 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-11-01 00:00:44 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-11-01 00:00:44 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:00:45 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-11-01 00:00:45 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-11-01 00:01:03 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:01:03 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-11-01 00:01:03 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-11-01 00:01:03 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:01:05 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-11-01 00:01:05 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-11-01 00:01:06 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:01:06 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-11-01 00:01:06 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-11-01 00:01:06 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:01:06 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-11-01 00:01:07 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-11-01 00:01:20 | INFO     | BasicBot | place_market_order | ================================================================================
2025-11-01 00:01:20 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-11-01 00:01:20 | INFO     | BasicBot | place_market_order | ================================================================================
2025-11-01 00:01:20 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-11-01 00:01:21 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-11-01 00:01:21 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-11-01 00:01:21 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-11-01 00:01:21 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-11-01 00:01:21 | ERROR    | BasicBot | place_market_order | ================================================================================
